"files","label"
"images/marena_2014_06_23_120001.jpg",0
"images/caryinstitute_2016_06_24_110643.jpg",0
"images/glacier_2015_03_06_120039.jpg",0
"images/sweetbriar_2015_10_09_120007.jpg",1
"images/baldmountain2_2016_04_26_120011.jpg",1
"images/uiefmiscanthus_2015_10_21_120000.jpg",0
"images/sequoia_2017_12_22_120118.jpg",1
"images/hubbardbrooksfws_2012_07_11_121002.jpg",0
"images/marcell_2018_03_12_100005.jpg",0
"images/turtleback_2007_02_22_110000.jpg",3
"images/parkridge_2013_10_24_120146.jpg",1
"images/vancouverisland_2014_08_13_120149.jpg",1
"images/parkridge_2011_02_10_120500.jpg",0
"images/mountzirkel_2004_04_06_120000.jpg",0
"images/jersand_2016_07_11_120006.jpg",0
"images/thompsonfarm_2008_11_22_120500.jpg",1
"images/turtleback_2007_08_07_100000.jpg",0
"images/arizonagrass_2008_05_22_122000.jpg",0
"images/silaslittle_2015_06_01_120104.jpg",1
"images/lethbridge_2013_11_27_120112.jpg",0
"images/imcrktussock_2016_01_28_120612.jpg",1
"images/columbiarivergorge_2009_10_05_120200.jpg",0
"images/kaweah_2014_11_15_120028.jpg",2
"images/NEON.D03.OSBS.DP1.00042_2016_12_22_120006.jpg",0
"images/missouriozarks_2013_05_27_120111.jpg",1
"images/proctor_2009_12_20_114639.jpg",0
"images/smokylook_2007_04_16_140000.jpg",1
"images/olympic_2017_07_14_120116.jpg",0
"images/thompsonfarm2N_2014_05_31_120107.jpg",0
"images/columbiarivergorge_2012_04_04_120107.jpg",0
"images/bigbend_2004_07_31_130000.jpg",3
"images/sanford_2017_12_09_120104.jpg",0
"images/umichbiological2_2017_01_13_120005.jpg",0
"images/uiefprairie_2013_01_18_120000.jpg",0
"images/readingma_2013_10_06_120105.jpg",0
"images/howland1_2008_02_07_120100.jpg",0
"images/gcesapelo_2014_07_09_120002.jpg",0
"images/oakridge1_2007_04_11_152000.jpg",2
"images/harvard_2014_09_04_120137.jpg",0
"images/harvardbarn_2014_09_16_120104.jpg",0
"images/smokypurchase_2009_11_23_120200.jpg",3
"images/northcascades_2010_07_26_120100.jpg",0
"images/bitterootvalley_2006_03_05_120000.jpg",0
"images/glacier_2014_02_07_120037.jpg",0
"images/smokypurchase_2011_09_03_120100.jpg",1
"images/kaweah_2012_11_16_120112.jpg",1
"images/snakerivermn_2017_12_22_120128.jpg",0
"images/snipelake_2014_12_25_120100.jpg",3
