"file","value"
"/projects/phenocam/data/archive/harvardhemlock2/2016/05/harvardhemlock2_2016_05_30_120005.jpg",1
"/projects/phenocam/data/archive/kamuela/2014/08/kamuela_2014_08_23_120145.jpg",0
"/projects/phenocam/data/archive/bridger/2011/03/bridger_2011_03_06_120000.jpg",2
"/projects/phenocam/data/archive/jasperridge/2017/10/jasperridge_2017_10_09_114706.jpg",0
"/projects/phenocam/data/archive/ahwahnee/2015/01/ahwahnee_2015_01_02_120010.jpg",0
"/projects/phenocam/data/archive/jerbajada/2016/12/jerbajada_2016_12_03_120006.jpg",0
"/projects/phenocam/data/archive/cucamongasouth/2013/04/cucamongasouth_2013_04_05_120132.jpg",0
"/projects/phenocam/data/archive/NEON.D10.CPER.DP1.00033/2018/04/NEON.D10.CPER.DP1.00033_2018_04_14_120006.jpg",0
"/projects/phenocam/data/archive/breckenridge/2017/05/breckenridge_2017_05_16_120024.jpg",0
"/projects/phenocam/data/archive/turkeypointenf74/2013/02/turkeypointenf74_2013_02_10_120111.jpg",1
"/projects/phenocam/data/archive/usgsreston/2013/11/usgsreston_2013_11_30_120113.jpg",0
"/projects/phenocam/data/archive/howland1/2013/11/howland1_2013_11_21_120143.jpg",0
"/projects/phenocam/data/archive/smokylook/2000/12/smokylook_2000_12_31_150000.jpg",0
"/projects/phenocam/data/archive/arsmnswanlake1/2017/03/arsmnswanlake1_2017_03_31_120009.jpg",0
"/projects/phenocam/data/archive/glacier/2008/10/glacier_2008_10_05_121700.jpg",0
"/projects/phenocam/data/archive/oregonYP/2012/08/oregonYP_2012_08_01_043844.jpg",0
"/projects/phenocam/data/archive/missouriozarks/2012/09/missouriozarks_2012_09_03_120111.jpg",0
"/projects/phenocam/data/archive/luckyhills/2018/01/luckyhills_2018_01_25_115406.jpg",0
"/projects/phenocam/data/archive/mammothcave/2012/08/mammothcave_2012_08_13_120059.jpg",0
"/projects/phenocam/data/archive/sequoia/2014/10/sequoia_2014_10_17_120111.jpg",0
"/projects/phenocam/data/archive/turkeypointdbf/2013/11/turkeypointdbf_2013_11_27_120112.jpg",2
"/projects/phenocam/data/archive/grandcanyon/2004/01/grandcanyon_2004_01_11_120000.jpg",0
"/projects/phenocam/data/archive/NEON.D10.CPER.DP1.00042/2016/12/NEON.D10.CPER.DP1.00042_2016_12_07_120005.jpg",3
"/projects/phenocam/data/archive/thompsonfarm/2010/05/thompsonfarm_2010_05_18_120600.jpg",0
"/projects/phenocam/data/archive/NEON.D08.LENO.DP1.00033/2017/06/NEON.D08.LENO.DP1.00033_2017_06_13_120005.jpg",0
"/projects/phenocam/data/archive/olympic/2009/06/olympic_2009_06_15_130300.jpg",0
"/projects/phenocam/data/archive/underhill/2011/04/underhill_2011_04_27_120200.jpg",0
